question,value,n,q_id,id,section,type,subtype,self_or_others,q_condensed,q_word,per
I will carry a mask and/or hand sanitizer around with me as a precaution.,5,94,16,10,Survey,Social-Cultural,Hygiene,2,Carry Masks (I),Carry Masks ,33.81
"I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",2,3,26,11,Survey,Cultural,Well-being,2,Wellness (I),Wellness ,1.08
"I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",3,86,26,11,Survey,Cultural,Well-being,2,Wellness (I),Wellness ,30.94
"I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",4,118,26,11,Survey,Cultural,Well-being,2,Wellness (I),Wellness ,42.45
"I will do ____ to maintain my personal wellness (e.g. eat healthfully, exercise, practice work-life balance).",5,71,26,11,Survey,Cultural,Well-being,2,Wellness (I),Wellness ,25.54
"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",1,15,23,12,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,5.4
"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",2,23,23,12,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,8.27
"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",3,62,23,12,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,22.3
"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",4,83,23,12,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,29.86
"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",5,94,23,12,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,33.81
"I will feel more comfortable reminding others about safe public hygiene (e.g. covering cough, not touching face).",NA,1,23,12,Survey,Social-Cultural,Hygiene,2,Remind Others (I),Remind Others ,0.36
I will have ____ trust in my government.,1,65,28,13,Survey,Political,-,2,Trust Gov (I),Trust Gov ,23.38
I will have ____ trust in my government.,2,64,28,13,Survey,Political,-,2,Trust Gov (I),Trust Gov ,23.02
I will have ____ trust in my government.,3,113,28,13,Survey,Political,-,2,Trust Gov (I),Trust Gov ,40.65
I will have ____ trust in my government.,4,26,28,13,Survey,Political,-,2,Trust Gov (I),Trust Gov ,9.35
I will have ____ trust in my government.,5,10,28,13,Survey,Political,-,2,Trust Gov (I),Trust Gov ,3.6
I will have ____ trust in vaccines.,1,3,25,14,Survey,Policy,Health,2,Trust Vaccines (I),Trust Vaccines ,1.08
I will have ____ trust in vaccines.,2,4,25,14,Survey,Policy,Health,2,Trust Vaccines (I),Trust Vaccines ,1.44
I will have ____ trust in vaccines.,3,162,25,14,Survey,Policy,Health,2,Trust Vaccines (I),Trust Vaccines ,58.27
I will have ____ trust in vaccines.,4,59,25,14,Survey,Policy,Health,2,Trust Vaccines (I),Trust Vaccines ,21.22
I will have ____ trust in vaccines.,5,50,25,14,Survey,Policy,Health,2,Trust Vaccines (I),Trust Vaccines ,17.99
I will practice ______ hygiene during annual flu seasons.,3,69,27,15,Survey,Social-Cultural,Hygiene,2,Flu Season (I),Flu Season ,24.82
I will practice ______ hygiene during annual flu seasons.,4,122,27,15,Survey,Social-Cultural,Hygiene,2,Flu Season (I),Flu Season ,43.88
I will practice ______ hygiene during annual flu seasons.,5,87,27,15,Survey,Social-Cultural,Hygiene,2,Flu Season (I),Flu Season ,31.29
"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",1,36,3,16,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,12.95
"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",2,40,3,16,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,14.39
"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",3,70,3,16,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,25.18
"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",4,72,3,16,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,25.9
"I will practice healthier digital habits (e.g. screen time limits, responsible online discourse).",5,60,3,16,Survey,Cultural,Well-being,2,Digital Habits (I),Digital Habits ,21.58
"I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",1,2,22,17,Survey,Social-Cultural,Hygiene,2,Public Hygiene (I),Public Hygiene ,0.72
"I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",2,3,22,17,Survey,Social-Cultural,Hygiene,2,Public Hygiene (I),Public Hygiene ,1.08
"I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",3,30,22,17,Survey,Social-Cultural,Hygiene,2,Public Hygiene (I),Public Hygiene ,10.79
"I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",4,67,22,17,Survey,Social-Cultural,Hygiene,2,Public Hygiene (I),Public Hygiene ,24.1
"I will practice safer hygiene in public (e.g. properly covering coughs/sneezes, staying home if sick).",5,176,22,17,Survey,Social-Cultural,Hygiene,2,Public Hygiene (I),Public Hygiene ,63.31
I will pursue relationships or intimate interactions online or via technology ____.,1,23,19,18,Survey,Social-Cultural,Lifestyle,2,Relationships (I),Relationships ,8.27
I will pursue relationships or intimate interactions online or via technology ____.,2,37,19,18,Survey,Social-Cultural,Lifestyle,2,Relationships (I),Relationships ,13.31
I will pursue relationships or intimate interactions online or via technology ____.,3,174,19,18,Survey,Social-Cultural,Lifestyle,2,Relationships (I),Relationships ,62.59
I will pursue relationships or intimate interactions online or via technology ____.,4,34,19,18,Survey,Social-Cultural,Lifestyle,2,Relationships (I),Relationships ,12.23
I will pursue relationships or intimate interactions online or via technology ____.,5,10,19,18,Survey,Social-Cultural,Lifestyle,2,Relationships (I),Relationships ,3.6
I will return to using hand shakes and/or other physical greetings.,1,32,1,19,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,11.51
I will return to using hand shakes and/or other physical greetings.,2,40,1,19,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,14.39
I will return to using hand shakes and/or other physical greetings.,3,35,1,19,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,12.59
I will return to using hand shakes and/or other physical greetings.,4,73,1,19,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,26.26
I will return to using hand shakes and/or other physical greetings.,5,98,1,19,Survey,Social-Cultural,Hygiene,2,Hand Shakes (I),Hand Shakes ,35.25
"I will save money more, rather than spend it.",1,24,6,20,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,8.63
"I will save money more, rather than spend it.",2,20,6,20,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,7.19
"I will save money more, rather than spend it.",3,60,6,20,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,21.58
"I will save money more, rather than spend it.",4,73,6,20,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,26.26
"I will save money more, rather than spend it.",5,101,6,20,Survey,Social-Cultural,Lifestyle,2,Save Money (I),Save Money ,36.33
I will seek out more evidence-based information.,1,7,9,21,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,2.52
I will seek out more evidence-based information.,2,5,9,21,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,1.8
I will seek out more evidence-based information.,3,35,9,21,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,12.59
I will seek out more evidence-based information.,4,56,9,21,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,20.14
I will seek out more evidence-based information.,5,175,9,21,Survey,Policy,Science,2,Evidence-Based Info (I),Evidence-Based Info ,62.95
I will think more before making impulsive purchases.,1,14,7,22,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,5.04
I will think more before making impulsive purchases.,2,24,7,22,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,8.63
I will think more before making impulsive purchases.,3,62,7,22,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,22.3
I will think more before making impulsive purchases.,4,68,7,22,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,24.46
I will think more before making impulsive purchases.,5,110,7,22,Survey,Social-Cultural,Lifestyle,2,Impulse Buy (I),Impulse Buy ,39.57
I will touch my face ____.,1,42,21,23,Survey,Social-Cultural,Hygiene,2,Touch Face (I),Touch Face ,15.11
I will touch my face ____.,2,97,21,23,Survey,Social-Cultural,Hygiene,2,Touch Face (I),Touch Face ,34.89
I will touch my face ____.,3,128,21,23,Survey,Social-Cultural,Hygiene,2,Touch Face (I),Touch Face ,46.04
I will touch my face ____.,4,4,21,23,Survey,Social-Cultural,Hygiene,2,Touch Face (I),Touch Face ,1.44
I will touch my face ____.,5,7,21,23,Survey,Social-Cultural,Hygiene,2,Touch Face (I),Touch Face ,2.52
I will travel ____.,1,16,20,24,Survey,Social-Cultural,Transportation,2,Travel (I),Travel ,5.76
I will travel ____.,2,45,20,24,Survey,Social-Cultural,Transportation,2,Travel (I),Travel ,16.19
I will travel ____.,3,142,20,24,Survey,Social-Cultural,Transportation,2,Travel (I),Travel ,51.08
I will travel ____.,4,43,20,24,Survey,Social-Cultural,Transportation,2,Travel (I),Travel ,15.47
I will travel ____.,5,32,20,24,Survey,Social-Cultural,Transportation,2,Travel (I),Travel ,11.51
"I will use digital commerce, companies, and platforms ____.",1,2,12,25,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,0.72
"I will use digital commerce, companies, and platforms ____.",2,16,12,25,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,5.76
"I will use digital commerce, companies, and platforms ____.",3,153,12,25,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,55.04
"I will use digital commerce, companies, and platforms ____.",4,75,12,25,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,26.98
"I will use digital commerce, companies, and platforms ____.",5,32,12,25,Survey,Social-Cultural,Lifestyle,2,Digital Commerce (I),Digital Commerce ,11.51
"I will use public transportation less, if possible.",1,81,5,26,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,29.14
"I will use public transportation less, if possible.",2,42,5,26,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,15.11
"I will use public transportation less, if possible.",3,68,5,26,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,24.46
"I will use public transportation less, if possible.",4,44,5,26,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,15.83
"I will use public transportation less, if possible.",5,43,5,26,Survey,Social-Cultural,Transportation,2,Public Transport (I),Public Transport ,15.47
I will use technology ____.,1,3,13,27,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,1.08
I will use technology ____.,2,16,13,27,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,5.76
I will use technology ____.,3,133,13,27,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,47.84
I will use technology ____.,4,72,13,27,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,25.9
I will use technology ____.,5,54,13,27,Survey,Social-Cultural,Work,2,Technology Use (I),Technology Use ,19.42
I will value classroom education ____.,1,8,18,28,Survey,Cultural,Education,2,Classroom Ed (I),Classroom Ed ,2.88
I will value classroom education ____.,2,16,18,28,Survey,Cultural,Education,2,Classroom Ed (I),Classroom Ed ,5.76
I will value classroom education ____.,3,90,18,28,Survey,Cultural,Education,2,Classroom Ed (I),Classroom Ed ,32.37
I will value classroom education ____.,4,71,18,28,Survey,Cultural,Education,2,Classroom Ed (I),Classroom Ed ,25.54
I will value classroom education ____.,5,93,18,28,Survey,Cultural,Education,2,Classroom Ed (I),Classroom Ed ,33.45
I will work harder to foster family and/or community ties.,1,8,8,29,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,2.88
I will work harder to foster family and/or community ties.,2,7,8,29,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,2.52
I will work harder to foster family and/or community ties.,3,58,8,29,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,20.86
I will work harder to foster family and/or community ties.,4,108,8,29,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,38.85
I will work harder to foster family and/or community ties.,5,97,8,29,Survey,Cultural,Well-being,2,Fam/Comm Ties (I),Fam/Comm Ties ,34.89
"I will work more remotely, if possible.",1,33,11,30,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,11.87
"I will work more remotely, if possible.",2,25,11,30,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,8.99
"I will work more remotely, if possible.",3,55,11,30,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,19.78
"I will work more remotely, if possible.",4,79,11,30,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,28.42
"I will work more remotely, if possible.",5,86,11,30,Survey,Social-Cultural,Work,2,Work Remotely (I),Work Remotely ,30.94
The COVID-19 pandemic has greatly affected my daily life.,1,17,30,31,Closing,General,-,2,Greatly Affected Me,NA,6.12
The COVID-19 pandemic has greatly affected my daily life.,2,24,30,31,Closing,General,-,2,Greatly Affected Me,NA,8.63
The COVID-19 pandemic has greatly affected my daily life.,3,28,30,31,Closing,General,-,2,Greatly Affected Me,NA,10.07
The COVID-19 pandemic has greatly affected my daily life.,4,104,30,31,Closing,General,-,2,Greatly Affected Me,NA,37.41
The COVID-19 pandemic has greatly affected my daily life.,5,105,30,31,Closing,General,-,2,Greatly Affected Me,NA,37.77
